0.5,48,1,49,8456,8998.2,6.5202
0.5,48,5,49,8491,8998.2,6.5317
0.5,48,10,49,8550,8998.2,6.5155
0.5,48,25,49,8610,8998.2,6.5058
0.5,48,50,49,8652,8998.2,6.5683
0.5,48,100,49,8641,8998.2,6.5686
1,62,1,49,20040,20615,6.8959
1,62,5,49,20040,20615,7.1248
1,62,10,49,20058,20615,6.8858
1,62,25,49,20164,20615,6.988
1,62,50,49,20164,20615,6.887
1,62,100,49,20166,20615,6.9977
0.5,4,1,50,897,956.07,7.1317
0.5,4,5,50,918,956.07,7.0936
0.5,4,10,50,930,956.07,7.1485
0.5,4,25,50,921,956.07,7.0054
0.5,4,50,50,925,956.07,7.0924
0.5,4,100,50,921,956.07,7.182
1,39,1,50,13802,14252,7.9501
1,39,5,50,14028,14252,8.0996
1,39,10,50,13859,14252,7.864
1,39,25,50,13953,14252,7.9518
1,39,50,50,14028,14252,8.0797
1,39,100,50,14028,14252,8.0993
